               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10303,             0.35166,            0.051718,            0.018177,            0.059528,            0.017324,            0.005229,             0.08999,             0.49427,            0.048415,            0.070074,           0.0033251,           0.0033251
                   1,            0.084519,             0.32909,            0.044589,             0.34232,             0.11406,            0.050402,            0.016639,            0.077672,             0.49996,            0.045045,            0.040041,           0.0066255,           0.0066255
                   2,            0.078187,             0.32064,            0.041426,             0.26603,             0.15615,            0.066433,            0.024765,            0.072274,             0.46594,            0.039668,           0.0099752,           0.0098929,           0.0098929
                   3,            0.072645,             0.30419,            0.037945,             0.58564,             0.17537,             0.10205,            0.041829,             0.06513,             0.48525,            0.037063,           0.0098515,           0.0098515,           0.0098515
                   4,            0.067306,              0.2964,            0.035777,             0.46005,             0.21765,               0.131,            0.058497,            0.062166,             0.43396,            0.035783,           0.0098515,           0.0098515,           0.0098515
                   5,            0.064018,             0.28659,            0.034495,             0.47288,             0.21519,             0.15112,            0.070188,             0.05976,             0.42252,            0.034236,            0.009802,            0.009802,            0.009802
                   6,            0.062103,             0.28023,            0.033272,             0.47507,             0.24281,             0.16942,             0.07767,            0.057771,              0.4164,            0.033428,           0.0097525,           0.0097525,           0.0097525
                   7,            0.060095,             0.27651,            0.032318,             0.49425,             0.23662,             0.17931,            0.085053,             0.05618,             0.41314,            0.032283,            0.009703,            0.009703,            0.009703
                   8,            0.058998,             0.27325,              0.0315,             0.38632,             0.26063,             0.19841,             0.09215,            0.055965,             0.40342,            0.031323,           0.0096535,           0.0096535,           0.0096535
                   9,            0.057803,             0.27033,            0.030435,               0.507,               0.262,             0.20648,            0.099104,            0.054613,             0.41004,            0.030266,            0.009604,            0.009604,            0.009604
                  10,            0.057093,             0.26715,            0.029529,             0.38848,             0.27779,             0.23815,               0.117,            0.053487,             0.39732,            0.029822,           0.0095545,           0.0095545,           0.0095545
                  11,            0.055978,             0.26447,            0.028605,             0.52313,             0.26537,             0.24263,             0.12088,            0.053189,             0.39776,            0.028899,            0.009505,            0.009505,            0.009505
                  12,            0.055235,             0.26367,            0.027773,             0.43522,             0.28578,             0.26076,             0.13401,            0.051836,             0.38999,            0.028347,           0.0094555,           0.0094555,           0.0094555
                  13,            0.054683,             0.25839,            0.027318,             0.45754,             0.29299,             0.27124,             0.14069,            0.051221,             0.38685,            0.027508,            0.009406,            0.009406,            0.009406
                  14,            0.053983,             0.26027,            0.026708,             0.36169,             0.30255,             0.28159,             0.14492,            0.051047,             0.38507,            0.027596,           0.0093565,           0.0093565,           0.0093565
                  15,            0.053511,             0.25659,            0.026189,             0.37221,             0.30139,             0.29051,             0.15301,            0.050438,             0.38351,            0.026846,            0.009307,            0.009307,            0.009307
                  16,            0.053178,             0.25755,            0.025722,              0.4566,             0.32023,             0.30225,             0.16017,            0.049778,             0.38058,            0.026114,           0.0092575,           0.0092575,           0.0092575
                  17,             0.05289,             0.25604,            0.025189,             0.47701,             0.31525,             0.30461,             0.16199,            0.050093,             0.38341,            0.026043,            0.009208,            0.009208,            0.009208
                  18,            0.052462,             0.25288,            0.024987,             0.48244,             0.32179,             0.31543,             0.16997,             0.04939,             0.37878,            0.025591,           0.0091585,           0.0091585,           0.0091585
                  19,            0.051914,             0.25298,            0.024498,             0.48631,             0.32629,             0.32067,             0.17209,            0.049147,             0.38087,            0.025321,            0.009109,            0.009109,            0.009109
                  20,            0.051676,             0.24753,            0.024214,             0.38269,             0.34241,             0.32262,             0.17227,            0.049646,             0.37793,            0.025204,           0.0090595,           0.0090595,           0.0090595
                  21,            0.051267,             0.24654,            0.023923,             0.37861,             0.35449,             0.33357,             0.18208,            0.048603,             0.37506,            0.024946,             0.00901,             0.00901,             0.00901
                  22,            0.050923,             0.24713,            0.023542,             0.40344,             0.35803,             0.33637,             0.18405,            0.048373,             0.37704,            0.024437,           0.0089605,           0.0089605,           0.0089605
                  23,            0.050795,             0.24333,            0.023401,             0.40914,             0.35694,             0.34202,             0.18557,             0.04809,             0.37401,            0.024417,            0.008911,            0.008911,            0.008911
                  24,            0.050185,              0.2428,            0.022988,             0.39322,             0.36726,             0.34375,             0.18974,            0.048014,             0.37245,            0.024265,           0.0088615,           0.0088615,           0.0088615
                  25,            0.049969,             0.24287,            0.022844,             0.40886,             0.36604,             0.34926,             0.19199,            0.047839,             0.37138,            0.023979,            0.008812,            0.008812,            0.008812
                  26,            0.049788,              0.2426,            0.022699,             0.40516,             0.37712,             0.35251,              0.1931,            0.047688,             0.37082,            0.023966,           0.0087625,           0.0087625,           0.0087625
                  27,            0.049588,             0.24182,            0.022489,             0.42372,             0.37392,             0.36205,             0.20157,            0.047472,             0.37136,            0.023573,            0.008713,            0.008713,            0.008713
